7天连锁酒店(哈尔滨承德街客运站草市街店),中华巴洛克老道外文化区,道外区,草市街60号,http://www.zhuna.cn/hotel-103722.html,126
7天优品酒店(哈尔滨中央大街索菲亚教堂店),中央大街步行街/松花江畔,道里区,石头道街22号,http://www.zhuna.cn/hotel-49842.html,103
如家酒店.neo(哈尔滨中央大街步行街店),中央大街步行街/松花江畔,道里区,西十三道街53号,http://www.zhuna.cn/hotel-449922.html,142
如家酒店.neo(哈尔滨火车站西大直街工大地铁站店),江南大学城,南岗区,清明七道街6号,http://www.zhuna.cn/hotel-320584.html,180
如家酒店(哈尔滨会展中心衡山路万达广场店),龙塔/国际会展中心,南岗区,衡山路20号,http://www.zhuna.cn/hotel-11858.html,151
如家酒店·neo(哈尔滨索菲亚教堂麦凯乐中央大街店),中央大街步行街/松花江畔,道里区,兆麟街109号,http://www.zhuna.cn/hotel-144963.html,144
汉庭酒店(哈尔滨火车站广场店),哈尔滨站/果戈里商业区,南岗区,海关街182号(沪士大厦24-29层),http://www.zhuna.cn/hotel-32383.html,195
春天连锁宾馆(哈尔滨秋林店),哈尔滨站/果戈里商业区,南岗区,国民街69号,http://www.zhuna.cn/hotel-120356.html,238
7天连锁酒店(哈尔滨会展中心店),龙塔/国际会展中心,南岗区,嵩山路117号,http://www.zhuna.cn/hotel-7078.html,147
7天连锁酒店(哈尔滨西站万达广场店),哈尔滨西站/哈西万达广场,南岗区,哈尔滨大街640号3号楼,http://www.zhuna.cn/hotel-445300.html,107
如家驿居酒店(哈尔滨中央大街索菲亚教堂火车站北出口店),哈尔滨站/果戈里商业区,道里区,经纬街15号(兆麟街与经纬街交汇),http://www.zhuna.cn/hotel-534018.html,142
莫泰酒店(哈尔滨秋林医大一院地铁站店),哈尔滨站/果戈里商业区,南岗区,东大直街286-290号,http://www.zhuna.cn/hotel-4627.html,164
春天连锁宾馆(哈尔滨会展中心店),龙塔/国际会展中心,道外区,南直路291-6号,http://www.zhuna.cn/hotel-27782.html,142
如家酒店·neo(哈尔滨中央大街店),中央大街步行街/松花江畔,道里区,上游街51号,http://www.zhuna.cn/hotel-7898.html,142
如家酒店(哈尔滨江北大学城北站店),江北大学城/哈尔滨北站,松北区,志华商城14栋26号,http://www.zhuna.cn/hotel-253674.html,237
锦江之星(哈尔滨会展中心长江路店),龙塔/国际会展中心,南岗区,香山路24号,http://www.zhuna.cn/hotel-8867.html,179
哈尔滨爱达快捷宾馆,哈尔滨西站/哈西万达广场,南岗区,铁路街、和谐大街、哈尔滨大街、北兴街围合区域第S2栋1-2层04号,http://www.zhuna.cn/hotel-1153724.html,58
如家酒店(哈尔滨西站医大二院黑龙江大学地铁站店),江南大学城,南岗区,中兴大道99号,http://www.zhuna.cn/hotel-229578.html,199
7天优品酒店(哈尔滨江北万达店),太阳岛/冰雪大世界/融创乐园/市政府,松北区,科技北三街与世茂大道交汇处科技北三街212号,http://www.zhuna.cn/hotel-858616.html,125
