全季酒店(福州首山路店),首山路学生街,仓山区,上三路32号,http://www.zhuna.cn/hotel-44705.html,538
福州心安处·谧谷山庄,晋安区,晋安区,宦溪镇鼓岭宜夏村梁厝55号,http://www.zhuna.cn/hotel-1135107.html,670
如家精选酒店(福州东街口三坊七巷三山大厦店),三坊七巷/东街口,鼓楼区,东街59号三山大厦北楼,http://www.zhuna.cn/hotel-1725194.html,263
锦江都城酒店(福州金融街万达广场酒店),金融街万达,台江区,曙光路193号金融街万达广场C3幢,http://www.zhuna.cn/hotel-27249.html,400
颐豪酒店(福州马尾自贸区店),马尾区,马尾区,江滨东大道162-1号,http://www.zhuna.cn/hotel-1355174.html,377
锦江都城酒店(福州三坊七巷东街口店),三坊七巷/东街口,鼓楼区,八一七北路68号,http://www.zhuna.cn/hotel-1650494.html,331
福州鼓岭浮游云上美宿馆,晋安区,晋安区,宦溪镇鼓岭宜夏村梁厝76号,http://www.zhuna.cn/hotel-1286822.html,781
福建省闽江饭店,五四路/温泉公园,鼓楼区,五四路130号,http://www.zhuna.cn/hotel-4819.html,383
福州八闽楼颐豪酒店,五四路/温泉公园,鼓楼区,温泉支路39号,http://www.zhuna.cn/hotel-238717.html,518
福州三江国际大酒店,马尾区,马尾区,江滨东大道162-1号天宝大厦第3层01室,http://www.zhuna.cn/hotel-1470868.html,295
福建丽景假日大酒店,福州火车站,鼓楼区,福飞路199号,http://www.zhuna.cn/hotel-408325.html,569
福州聚春园大酒店,三坊七巷/东街口,鼓楼区,东街2号,http://www.zhuna.cn/hotel-4806.html,342
福州川捷温泉高尔夫俱乐部酒店,福州火车站,晋安区,新店镇涧田路888号,http://www.zhuna.cn/hotel-102165.html,382
福州戴琳花园酒店,金融街万达,晋安区,鼓山镇招贤路420号煮海都会第三层-1,http://www.zhuna.cn/hotel-1758973.html,320
福州摩登之冠温泉酒店,福州火车站,鼓楼区,华大街道东浦路134号,http://www.zhuna.cn/hotel-1355033.html,383
福州聚春园滨江假日酒店,台江区,台江区,江滨路68号,http://www.zhuna.cn/hotel-10242.html,298
半岛·温泉酒店(福州五四路店),五四路/温泉公园,鼓楼区,温泉路58号,http://www.zhuna.cn/hotel-37779.html,246
福建国惠大酒店,长乐县,长乐区,航城街道吴航路南侧广场路西侧,http://www.zhuna.cn/hotel-519717.html,384
福州新紫阳大酒店,东二环泰禾广场,晋安区,长乐北路127号,http://www.zhuna.cn/hotel-4884.html,304
福州九月美宿·观云庄,晋安区,晋安区,寿山乡寿山瀑谷,http://www.zhuna.cn/hotel-228104.html,420
